id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
Gene 11,12.243354,12.1837,11.684654,11.676129,11.593509,11.201805,11.961522,11.524783,11.815487,11.169853,12.153311,11.803026,11.79703,11.645787,12.155215,12.038907,11.947275,12.108795,11.210146,12.150387,11.758866,11.680407,11.315385,11.279747,11.87599,11.413694,11.669431,11.925642,11.886333,12.000476,12.169564,12.100186,11.912109,12.62374,11.111966,11.63552,12.21987,12.119153,11.362527,11.58542,11.788807,12.274346,11.570877,12.329329,12.023204,11.856877,12.043891,11.274692,11.902042,11.446334,11.786072,12.037049,12.442324,12.50335,12.142141,12.104037,11.887758,12.455265,11.955374,12.55583,12.198791,12.643835,11.817818,11.929299,11.686904,11.608787,11.966071,11.967828,12.120706,12.446098,12.163274,11.770492,12.30722,12.228035,12.325013,12.112898,12.781245,12.084706,12.183875,11.826162,12.893532,12.204962,12.252346,12.614666,13.021154,11.458732,11.939346,12.150325,11.361594,11.372517,12.63173,12.092596,11.501315,11.796457,11.08031,11.875821,11.910303,12.09969,11.708544,12.849398,12.148273,12.515243,12.135624,11.918046,11.429905,12.352825,12.032982,11.855297,11.647644,12.004936,12.453405,11.769419,12.105545,11.840754,11.799996,11.64397,11.949424,11.732895,12.404306,12.01054,11.794382,12.036257,12.25275,11.679375,11.221001,12.382798,11.802332,12.365986,12.053156,11.584937
Gene 12,8.573758,8.689708,9.996356,8.401863,9.132688,9.363645,8.76452,8.817219,9.000502,8.702923,9.404465,9.597301,9.264427,9.673909,9.328038,7.765056,8.667932,8.473164,8.687578,10.009931,9.312967,9.515077,8.59895,9.707398,9.679152,8.874968,7.331842,8.934472,8.476702,8.887834,8.628545,8.210818,9.282236,9.08003,10.243404,9.365094,9.059269,8.549558,8.587056,9.543876,9.711119,9.60753,8.473991,9.007483,8.786423,9.501083,8.559021,9.90626,10.23947,9.829187,8.634002,9.514982,9.011985,8.602113,9.637606,8.711902,8.129931,9.505921,9.403782,9.09768,9.365491,8.937556,9.432544,9.498296,9.596944,9.064338,8.701067,8.926565,8.402145,7.332524,7.303927,8.441851,8.594107,8.743619,9.28823,9.299689,9.293156,9.314438,9.851759,10.119385,9.245535,8.434425,8.743046,8.60954,8.86858,9.642518,9.464572,8.701074,9.295974,9.285832,8.510372,9.064866,10.322561,9.577153,9.269367,10.1254,9.327679,8.973799,9.766895,8.852517,9.189406,8.656345,8.932945,10.190323,9.306738,9.198706,9.053529,9.37439,9.432242,9.937435,9.666659,9.037953,8.969519,9.436561,9.620583,8.206562,10.219361,9.475011,9.714331,8.341074,9.478947,9.248333,8.547221,8.728994,9.587103,9.672601,9.335281,8.642619,7.62368,8.457014
Gene 13,11.057214,9.371569,10.092337,10.5284,8.801731,9.06296,10.336875,10.06787,9.779701,9.420017,10.236318,10.333368,9.429534,9.694308,8.553529,9.503202,10.109516,9.367495,9.258848,9.829667,10.415271,8.731802,9.764206,8.20077,9.783951,9.749936,8.135424,9.296452,8.887283,9.827267,9.602805,10.477791,10.524599,10.231587,9.500599,9.578887,10.212396,10.155912,9.960971,9.987754,9.432034,9.684354,10.55818,10.344588,9.987096,9.757537,9.628091,8.354673,9.599791,7.106563,10.554089,8.718657,10.929516,10.503549,10.180041,9.963327,10.40358,10.763447,10.211723,9.728127,10.095472,8.600889,9.58958,8.957046,9.362541,9.710563,11.753945,10.682283,10.444964,9.785681,10.477549,9.486852,10.538028,9.774329,10.166653,9.158396,11.044944,9.448775,9.483972,9.157129,9.883075,10.304125,10.22012,9.972879,10.558845,9.188319,9.625398,9.730437,8.62859,10.349008,10.11672,10.277972,9.281313,7.81215,9.35889,8.582184,9.652855,11.062813,10.359157,10.272483,10.254158,9.867509,9.786235,9.070656,9.999444,11.498796,8.53437,10.702243,10.119124,9.616734,10.212006,10.380651,10.190269,10.364022,9.788301,9.0089,10.375633,9.66087,10.159079,9.881335,8.616164,8.91107,11.649959,9.546072,9.587103,11.159744,10.271192,9.675421,10.189435,10.039466
Gene 14,6.659036,6.659036,6.659036,6.659036,6.659036,6.659036,6.659036,6.659036,6.659036,7.777616,6.659036,7.296329,7.207299,6.659036,8.137558,6.659036,6.659036,6.659036,7.185094,6.659036,6.659036,7.307314,6.659036,6.659036,7.57669,6.659036,6.659036,7.727744,6.659036,6.659036,6.659036,6.659036,7.854565,6.659036,6.659036,6.659036,6.659036,6.659036,7.4257,7.274628,7.230735,6.659036,6.659036,6.659036,6.659036,6.659036,6.659036,7.192225,7.516642,6.659036,6.659036,6.659036,7.903654,8.095811,7.313017,6.659036,6.659036,7.221214,7.886663,8.128155,7.814952,6.659036,7.889951,6.659036,8.403906,6.659036,6.659036,6.659036,6.659036,6.659036,6.659036,6.659036,7.215501,6.659036,6.659036,6.659036,6.659036,6.659036,6.659036,7.377661,6.659036,6.659036,6.659036,7.438316,6.659036,7.80909,7.880216,7.7763,7.265014,6.659036,7.383324,6.659036,7.005491,6.659036,6.659036,6.659036,6.659036,6.659036,6.659036,7.790862,7.082591,6.659036,7.224185,7.630007,6.659036,7.226052,6.659036,7.353797,6.659036,6.659036,7.614338,6.659036,6.659036,6.659036,6.659036,7.225402,6.659036,7.751829,6.659036,7.111247,6.659036,7.361478,6.659036,6.659036,7.25218,7.617626,7.336296,6.659036,7.367787,7.239631
Gene 15,10.79838,10.990519,10.85063,10.930003,10.789143,11.108521,11.27938,10.624706,11.667546,10.370945,10.635419,10.972561,11.383022,10.814614,11.858026,11.101659,10.950386,11.598936,11.480712,11.304598,11.19121,11.080102,11.790046,11.171147,11.250899,11.10749,12.030721,11.246919,10.958117,11.111596,10.673839,10.385287,10.521787,10.862362,12.289534,11.329732,11.81955,11.090557,11.07443,11.10233,11.013128,10.900759,11.0267,10.777647,11.250204,11.221259,11.257329,11.961088,11.015793,11.840097,10.875269,10.169952,11.041606,10.587524,11.205415,10.424271,11.737169,10.452454,10.890088,10.949573,11.069529,10.999527,11.847879,11.597476,10.459579,11.323081,11.199634,11.158448,10.516864,10.133305,10.519691,11.326343,11.219246,11.410296,10.936245,10.617399,8.283458,11.106767,11.413768,11.658558,11.314249,11.479836,11.27989,10.953519,11.428985,11.457236,10.799992,10.959864,11.2421,11.198758,11.486224,10.801465,11.357908,11.063685,10.83068,11.237882,10.92344,11.191833,10.728258,10.850812,10.98879,10.58642,10.849921,10.813027,11.052273,10.46632,11.243564,10.854481,10.869173,10.934978,10.528441,11.199295,11.037718,10.647006,10.860538,11.096923,11.660876,11.026151,11.577913,11.141356,10.903853,11.883265,11.158151,11.332802,11.437433,10.667537,10.904912,10.638485,10.888844,11.62359
Gene 16,13.985598,13.9047,14.179332,14.590819,14.295143,14.742042,14.334035,14.251789,14.006376,14.199625,14.107981,14.13558,14.471338,14.241293,14.620554,13.721082,13.936495,13.905178,14.508328,14.316299,14.164057,14.293598,14.056519,14.222916,13.972418,14.317058,14.133526,14.052248,14.206769,14.182737,13.942283,14.346941,14.504621,14.151799,15.364239,14.227276,14.059396,13.905451,14.544178,14.385654,14.116028,14.745519,14.194642,14.141588,14.334746,13.846741,14.24075,14.049202,14.431514,14.342429,14.216483,14.415978,14.208925,14.308767,14.289456,14.007226,14.501894,14.199257,14.213267,13.774852,14.096715,13.963216,14.339096,13.51884,14.476409,13.958798,14.128889,14.384466,14.207261,13.940988,14.228169,14.180982,14.096651,14.241212,14.12653,14.647237,14.191801,14.303287,14.043356,15.105966,13.989057,14.219662,14.207142,14.048213,14.090471,14.276086,14.464355,13.920905,14.103648,14.012617,13.97454,14.246318,14.317843,13.954455,14.271657,14.382262,14.039133,14.168329,14.038285,13.966101,14.16076,14.555069,14.08776,14.107854,14.66715,14.117923,14.399389,14.218214,14.234468,14.004422,14.05063,13.997991,13.992003,14.440083,14.037719,13.771072,14.38624,14.337049,13.778344,14.118427,14.031587,14.797022,14.038632,14.370837,14.22282,14.238053,14.198267,14.512334,14.028431,13.983376
Gene 17,10.482729,11.076367,11.201114,11.215483,10.880032,11.29797,11.43658,10.998301,11.449241,11.292297,11.08168,11.533134,10.553342,10.951274,11.027311,10.708569,10.981877,10.622096,11.288941,9.687206,10.998899,11.117809,10.736812,11.224254,10.746731,11.072657,11.323576,10.873228,11.373338,10.939782,11.039708,11.292782,11.178508,10.91812,11.428854,10.826615,10.207128,10.977632,10.757541,11.268803,11.320878,10.453857,11.397185,10.708011,11.032977,10.714891,10.59859,10.931963,11.346482,11.570538,10.455762,11.267797,10.943626,11.158811,10.543057,10.829457,11.015976,11.424958,10.440107,10.580112,10.983702,11.288554,11.182851,10.393806,10.576455,11.055116,10.631757,10.939922,10.876785,10.475465,11.032457,11.353799,9.90269,10.590975,10.579884,11.225238,11.107398,11.31608,10.871621,11.770562,11.053109,10.616934,10.462197,10.662796,10.916533,11.073197,11.28149,10.569021,10.717378,11.261587,10.876755,11.005803,11.541697,10.758686,11.693489,10.562313,10.882645,10.637701,11.477577,10.985411,10.833875,11.462931,10.811535,10.995546,11.07618,10.562288,11.022659,10.184663,11.264591,11.10463,10.70284,11.118947,10.841898,10.838526,11.496106,10.307378,10.134382,11.436905,10.903089,10.909891,11.154149,10.606413,11.013219,10.790531,11.039813,10.93676,10.904912,10.404264,10.62167,10.894514
Gene 18,10.907546,10.01778,9.903798,9.748211,10.692139,10.173008,9.493934,10.823532,10.381996,10.086737,9.915799,9.881085,10.199243,9.893376,10.507006,9.745023,10.322023,10.059858,10.243913,9.857574,9.697967,9.725099,9.725352,10.768119,10.203582,9.959764,10.27836,10.241055,9.671747,9.827366,9.658898,9.784549,9.12266,10.473196,11.095282,10.10088,9.832628,9.340572,10.228318,9.738092,10.015064,9.891673,9.127169,9.792638,9.780242,10.04596,9.963445,10.416052,10.800354,11.00072,9.308914,10.031942,10.063245,9.518916,9.922455,10.044175,10.304921,10.638231,9.474236,9.315665,8.887015,9.780649,10.682983,9.802361,10.376045,9.064338,10.031256,9.9667,10.395065,9.027656,9.983549,10.02013,9.582995,10.394319,9.049634,9.655594,10.172012,10.046492,10.037067,11.387049,8.775932,10.157087,10.200699,10.378948,9.535652,10.46691,10.357516,9.79583,10.037018,10.026093,9.68989,9.750559,10.124095,9.992621,10.918777,10.264291,10.071133,9.270446,9.346901,10.055589,9.804428,9.977735,9.926828,8.61527,10.501237,9.858276,9.909368,10.105008,9.816182,10.258324,10.0999,10.234808,9.705335,10.106804,9.769852,9.311792,9.733337,10.701866,9.318709,9.785154,9.978009,10.202948,9.562857,9.646565,10.266326,9.832001,9.583155,10.691599,10.178502,9.969067
Gene 19,7.91315,9.371569,8.471472,8.758556,8.801731,9.06296,8.188942,8.687141,8.717053,9.262104,9.595791,10.256942,9.026663,9.893376,7.19176,9.147046,9.287873,9.667328,9.951786,10.080472,8.42723,9.515077,8.797914,9.37306,9.898723,9.959764,7.331842,9.582247,9.130272,9.223799,9.161407,9.120437,9.12266,8.869892,8.430309,9.529834,9.198503,9.073797,8.293162,8.304621,8.629019,8.957596,9.66834,9.98155,8.207615,8.760304,10.059891,10.367484,8.877548,9.574865,9.556009,9.026366,8.269895,7.755365,8.378883,8.915791,9.674774,9.988652,9.940259,9.315665,8.684293,7.374461,8.709841,10.331843,9.266717,9.409632,8.701067,8.19881,9.439114,8.136596,9.120818,9.536097,9.286007,8.217262,9.173859,9.158396,9.293156,9.225031,9.246758,9.733635,8.075226,9.206635,9.562013,8.313848,7.589828,8.746926,9.394198,9.061655,9.295974,9.401944,8.222807,7.712044,9.148154,9.129068,9.397548,9.604267,9.327679,9.398646,9.766895,9.575985,9.804428,9.115532,9.926828,9.416262,8.832522,8.937511,7.846409,9.37439,8.775069,9.703836,8.758818,9.684505,9.585191,9.982462,9.539768,10.413977,8.994978,9.126697,7.879093,9.443572,8.858101,9.853491,9.454745,9.321524,9.587103,8.596467,8.858975,9.176963,9.535578,8.457014
Gene 20,11.697284,11.512069,11.276879,12.154789,11.885384,11.633871,11.578322,11.649395,11.687664,11.669615,11.344191,11.533134,11.670381,11.347784,11.109127,11.880296,11.782762,11.990201,12.122362,11.54807,11.96283,11.71804,11.836023,11.485822,11.277251,11.69337,11.599604,11.372938,11.891846,12.178319,12.085147,11.711996,11.437817,11.763011,11.950862,11.865165,11.903366,12.019185,11.714821,11.790788,12.127562,11.649871,11.600054,11.779085,11.963027,12.05601,11.647086,11.823954,11.323569,11.796041,11.552673,12.071768,11.378045,11.329714,11.828309,11.65285,11.618942,11.546064,11.272672,11.593195,11.811622,11.560555,10.970846,11.135936,11.692336,11.477543,11.520209,11.312183,11.957253,11.066894,11.63336,11.900712,11.513483,11.14408,11.085499,11.360425,10.172012,11.867169,11.291569,11.543458,11.493705,11.626725,11.720744,11.005241,11.476131,11.859252,11.626607,11.951774,11.881817,11.788552,11.347173,11.714124,11.327433,11.693953,10.960887,11.671424,11.662556,11.643901,10.945045,11.684553,11.526163,11.774492,11.750238,11.57956,11.638456,11.628588,11.892392,11.683595,11.574618,11.167273,11.378909,11.460678,11.660111,11.600812,11.658021,11.64865,11.679592,11.078008,11.409985,11.736449,11.391939,11.098624,11.625233,11.682003,11.791265,11.589861,11.769608,11.475821,11.447929,12.246076
